,0
https://safebooru.org/index.php?page=post&s=view&id=3425159,"['neon genesis evangelion', 'rebuild of evangelion', 'shikinami asuka langley', 'souryuu asuka langley', '1girl', 'blonde hair', 'blue eyes', 'blue sky', 'breasts', 'building', 'eyepatch', 'highres', 'interface headset', 'l-phy', 'leaning on rail', 'medium breasts', 'plugsuit', 'railing', 'shadow', 'signature', 'sky', 'skyline', 'solo']"
https://safebooru.org/index.php?page=post&s=view&id=3425154,"['evillious nendaiki', 'venomania kou no kyouki (vocaloid)', 'vocaloid', 'kamui gakupo', '1boy', 'aqua butterfly', 'aryuma772', 'black footwear', 'boots', 'bug', 'butterfly', 'cravat', 'curtains', 'fire', 'flower', 'green butterfly', 'hair ribbon', 'highres', 'insect', 'jacket', 'katana', 'kneehighs', 'long hair', 'looking at viewer', 'one eye closed', 'petals', 'pink butterfly', 'ponytail', 'purple blood', 'purple fire', 'purple flower', 'purple hair', 'purple jacket', 'purple nails', 'purple rose', 'red butterfly', 'ribbon', 'rose', 'runes', 'sateriasis venomania', 'sidelocks', 'sitting', 'smile', 'solo', 'sword', 'thorns', 'venom sword', 'vessel of sin', 'weapon']"
https://safebooru.org/index.php?page=post&s=view&id=3425180,"['genshin impact', 'zhongli (genshin impact)', '1boy', 'bangs', 'black gloves', 'black hair', 'brown hair', 'chinese text', 'closed mouth', 'collared shirt', 'earrings', 'eyebrows visible through hair', 'eyeliner', 'eyeshadow', 'flower ming yu', 'formal', 'gloves', 'gradient hair', 'hair between eyes', 'hand in hair', 'hand on own arm', 'highres', 'jacket', 'jewelry', 'long hair', 'long sleeves', 'looking at viewer', 'makeup', 'male focus', 'mountain', 'multicolored hair', 'necktie', 'orange hair', 'outdoors', 'ponytail', 'red eyeshadow', 'repost notice', 'shirt', 'single earring', 'smile', 'solo', 'suit', 'tassel', 'tassel earrings', 'thumb ring', 'tree', 'yellow eyes']"
https://safebooru.org/index.php?page=post&s=view&id=3425155,"['hololive', 'oozora subaru', '1girl', '2021', 'arm rest', 'artist name', 'bangs', 'blurry', 'blurry background', 'braid', 'brown hair', 'day', 'depth of field', 'eyebrows visible through hair', 'green eyes', 'grey shirt', 'grin', 'hair ornament', 'hand up', 'head rest', 'highres', 'indoors', 'kusunoki r', 'looking at viewer', 'picture (object)', 'picture frame', 'plant', 'shiny', 'shiny hair', 'shirt', 'short hair', 'side braid', 'sleeveless', 'sleeveless shirt', 'smile', 'solo', 'star (symbol)', 'star hair ornament', 'striped', 'striped shirt', 'sunlight', 'swept bangs', 'virtual youtuber', 'window']"
https://safebooru.org/index.php?page=post&s=view&id=3425151,"['little red riding hood', 'little red riding hood (grimm)', 'pokimari', '1girl', 'animal hat', 'bangs', 'blood', 'blood on face', 'blue eyes', 'breasts', 'detached sleeves', 'earrings', 'full body', 'grey hair', 'hair tubes', 'hat', 'high heels', 'highres', 'jewelry', 'long hair', 'looking at viewer', 'mechanical legs', 'red headwear', 'small breasts', 'solo', 'suspenders', 'twintails', 'white background']"
https://safebooru.org/index.php?page=post&s=view&id=3425152,"['azur lane', 'commander (azur lane)', '!?', '1boy', '1girl', 'bangs', 'blush', 'camera', 'coat', 'coat dress', 'eyebrows visible through hair', 'fur-trimmed coat', 'fur-trimmed legwear', 'fur-trimmed sleeves', 'fur trim', 'green suit', 'hat', 'heterochromia', 'highres', 'himiya jouzu', 'holding', 'holding camera', 'long hair', 'murmansk (azur lane)', 'necktie', 'open mouth', 'pantyhose', 'pink eyes', 'silver hair', 'sparkle', 'thigh-highs', 'white coat', 'wind', 'wind lift', 'winter clothes', 'winter coat', 'violet eyes']"
https://safebooru.org/index.php?page=post&s=view&id=3425148,"['kantai collection', '1girl', 'asymmetrical legwear', 'black hair', 'black skirt', 'crossed legs', 'gloves', 'hair ribbon', 'highres', 'isokaze (kancolle)', 'long hair', 'long sleeves', 'looking at viewer', 'pleated skirt', 'red eyes', 'ribbon', 'school uniform', 'serafuku', 'single thighhigh', 'skirt', 'solo', 'thigh-highs', 'ton ton tontoro', 'tress ribbon', 'white gloves']"
https://safebooru.org/index.php?page=post&s=view&id=3425174,"['girls und panzer', 'akiyama yukari', 'clara (girls und panzer)', 'itsumi erika', 'nishizumi maho', 'nishizumi miho', 'wata do chinkuru', '6+girls', 'ass', 'blonde hair', 'blue eyes', 'blush', 'breasts', 'brown eyes', 'brown hair', 'closed mouth', 'gun', 'hat', 'highres', 'kuromorimine military uniform', 'large breasts', 'long hair', 'looking at viewer', 'medium breasts', 'midriff', 'military', 'military hat', 'military uniform', 'miniskirt', 'multiple girls', 'multiple views', 'navel', 'no panties', 'nonna (girls und panzer)', 'ooarai military uniform', 'open mouth', 'pleated skirt', 'pravda military uniform', 'red skirt', 'short hair', 'simple background', 'skirt', 'torn clothes', 'torn skirt', 'uniform', 'weapon', 'white background', 'white hair']"
https://safebooru.org/index.php?page=post&s=view&id=3425173,"['senki zesshou symphogear', 'carol malus dienheim', 'miyabi mt-b', '1girl', 'artist name', 'black gloves', 'blonde hair', 'blue eyes', 'blush', 'box', 'braid', 'braided ponytail', 'eyebrows visible through hair', 'gift', 'gift box', 'gloves', 'gradient', 'gradient background', 'hidden mouth', 'highres', 'looking at viewer', 'mole', 'mole under eye', 'ponytail', 'purple background', 'short hair', 'solo', 'upper body', 'white background']"
https://safebooru.org/index.php?page=post&s=view&id=3425153,"['kantai collection', 'kanade (kanadeya)', '1girl', 'background text', 'bangs', 'blunt bangs', 'brown hair', 'closed eyes', 'facing viewer', 'helena (kancolle)', 'highres', 'long hair', 'military', 'military uniform', 'neck ribbon', 'pov', 'ribbon', 'shirt tug', 'smile', 'solo', 'uniform', 'upper body', 'white background']"
